iter	MultiClass
0	0.896458194
1	0.7939975412
2	0.7259739143
3	0.684009159
4	0.6536255316
5	0.6304569665
6	0.6142984926
7	0.602319212
8	0.5916093831
9	0.5832872733
10	0.577060352
11	0.5711053915
12	0.564523953
13	0.5609296001
14	0.5582809161
15	0.5564016662
16	0.5527368273
17	0.5492992552
18	0.5480206819
19	0.5466157558
20	0.5445092027
21	0.5425005864
22	0.5403598231
23	0.5391029568
24	0.5380124478
25	0.5359218475
26	0.5340609497
27	0.5333734343
28	0.5321889646
29	0.5310037606
30	0.5303195007
31	0.5294192988
32	0.5280244523
33	0.5266483394
34	0.5262026018
35	0.5250616876
36	0.5244569135
37	0.5234314704
38	0.5227747218
39	0.5219234806
40	0.5213994879
41	0.5190021619
42	0.5177840901
43	0.5172931817
44	0.5159930257
45	0.5156487968
46	0.5153704628
47	0.5151428987
48	0.5142603499
49	0.5139728911
50	0.5135113842
51	0.5128948032
52	0.5127510509
53	0.5121126926
54	0.5115128454
55	0.5109753038
56	0.5104895347
57	0.5103758884
58	0.5100096309
59	0.5098309421
60	0.5093834905
61	0.5086340887
62	0.5084620097
63	0.5075424499
64	0.5069011213
65	0.5064504443
66	0.5061007833
67	0.5050810237
68	0.5050287913
69	0.5048330056
70	0.5046273274
71	0.5043551623
72	0.5039505047
73	0.5036176005
74	0.5032150344
75	0.502804316
76	0.5024360681
77	0.5020121863
78	0.5018602726
79	0.5014487529
80	0.501079143
81	0.5007132194
82	0.5005178049
83	0.5000204068
84	0.4990533903
85	0.4986364005
86	0.4978753215
87	0.4974671787
88	0.4968312163
89	0.4966659315
90	0.4963550486
91	0.4962514897
92	0.4960852104
93	0.4956280998
94	0.4951939335
95	0.4950193447
96	0.4947792483
97	0.4944629669
98	0.4939411082
99	0.4936480458
