iter	Passed	Remaining
0	340	33700
1	730	35807
2	1015	32839
3	1277	30652
4	1554	29530
5	1881	29469
6	2168	28809
7	2439	28052
8	2736	27670
9	3022	27201
10	3312	26800
11	3580	26254
12	3845	25737
13	4107	25229
14	4377	24808
15	4643	24379
16	4921	24027
17	5185	23624
18	5457	23267
19	5720	22880
20	5991	22537
21	6243	22135
22	6572	22002
23	6831	21632
24	7094	21282
25	7352	20925
26	7650	20685
27	7910	20340
28	8216	20115
29	8540	19927
30	8786	19556
31	9060	19253
32	9332	18946
33	9645	18723
34	9907	18399
35	10171	18082
36	10419	17741
37	10695	17449
38	10977	17169
39	11261	16892
40	11520	16578
41	11774	16260
42	12039	15959
43	12305	15662
44	12571	15364
45	12824	15054
46	13080	14749
47	13311	14420
48	13587	14142
49	13854	13854
50	14130	13576
51	14397	13289
52	14641	12984
53	14928	12717
54	15202	12438
55	15452	12140
56	15742	11875
57	15993	11581
58	16274	11309
59	16521	11014
60	16765	10718
61	17015	10428
62	17268	10141
63	17554	9874
64	17813	9592
65	18076	9312
66	18341	9033
67	18581	8744
68	18790	8442
69	19053	8165
70	19310	7887
71	19529	7594
72	19786	7318
73	20050	7044
74	20315	6771
75	20580	6499
76	20856	6229
77	21110	5954
78	21394	5687
79	21692	5423
80	22017	5164
81	22318	4899
82	22593	4627
83	22847	4351
84	23108	4077
85	23381	3806
86	23653	3534
87	23918	3261
88	24194	2990
89	24500	2722
90	24764	2449
91	25016	2175
92	25264	1901
93	25536	1629
94	25785	1357
95	26040	1085
96	26288	813
97	26524	541
98	26793	270
99	27045	0
